Date Time, Water Level, Sigma, O, F, R, L, Quality 
2017-01-02 13:24,1.350,0.072,0,0,0,0,v
2017-01-02 13:30,1.368,0.072,0,0,0,0,v
2017-01-02 13:36,1.425,0.087,0,0,0,0,v
2017-01-02 13:42,1.432,0.084,0,0,0,0,v
2017-01-02 13:48,1.435,0.078,0,0,0,0,v
2017-01-02 13:54,1.488,0.086,0,0,0,0,v
2017-01-02 14:00,1.520,0.088,0,0,0,0,v
2017-01-02 14:06,1.499,0.081,0,0,0,0,v
2017-01-02 14:12,1.532,0.083,0,0,0,0,v
2017-01-02 14:18,1.542,0.090,0,0,0,0,v
2017-01-02 14:24,1.554,0.081,0,0,0,0,v
2017-01-02 14:30,1.537,0.079,0,0,0,0,v
2017-01-02 14:36,1.543,0.073,0,0,0,0,v
2017-01-02 14:42,1.540,0.065,0,0,0,0,v
2017-01-02 14:48,1.577,0.072,0,0,0,0,v
2017-01-02 14:54,1.539,0.090,0,0,0,0,v
2017-01-02 15:00,1.530,0.090,0,0,0,0,v
2017-01-02 15:06,1.564,0.082,0,0,0,0,v
2017-01-02 15:12,1.536,0.084,0,0,0,0,v
2017-01-02 15:18,1.538,0.089,0,0,0,0,v
2017-01-02 15:24,1.541,0.085,0,0,0,0,v
2017-01-02 15:30,1.533,0.097,0,0,0,0,v
2017-01-02 15:36,1.521,0.087,0,0,0,0,v
2017-01-02 15:42,1.487,0.093,0,0,0,0,v
2017-01-02 15:48,1.485,0.105,0,0,0,0,v
2017-01-02 15:54,1.489,0.095,0,0,0,0,v
2017-01-02 16:00,1.442,0.083,0,0,0,0,v
2017-01-02 16:06,1.434,0.090,0,0,0,0,v
2017-01-02 16:12,1.442,0.080,0,0,0,0,v
2017-01-02 16:18,1.426,0.093,0,0,0,0,v
2017-01-02 16:24,1.413,0.097,0,0,0,0,v
2017-01-02 16:30,1.390,0.094,0,0,0,0,v
2017-01-02 16:36,1.363,0.091,0,0,0,0,v
2017-01-02 16:42,1.368,0.095,0,0,0,0,v
2017-01-02 16:48,1.364,0.115,0,0,0,0,v
2017-01-02 16:54,1.318,0.094,0,0,0,0,v
2017-01-02 17:00,1.297,0.106,0,0,0,0,v
2017-01-02 17:06,1.261,0.101,0,0,0,0,v
2017-01-02 17:12,1.222,0.119,0,0,0,0,v
2017-01-02 17:18,1.203,0.094,0,0,0,0,v
2017-01-02 17:24,1.156,0.092,0,0,0,0,v
2017-01-02 17:30,1.116,0.113,0,0,0,0,v
2017-01-02 17:36,1.123,0.117,0,0,0,0,v
2017-01-02 17:42,1.058,0.110,0,0,0,0,v
2017-01-02 17:48,1.028,0.125,0,0,0,0,v
2017-01-02 17:54,0.987,0.115,0,0,0,0,v
2017-01-02 18:00,0.959,0.119,0,0,0,0,v
2017-01-02 18:06,0.962,0.136,0,0,0,0,v
2017-01-02 18:12,0.893,0.124,0,0,0,0,v
2017-01-02 18:18,0.852,0.117,0,0,0,0,v
2017-01-02 18:24,0.826,0.122,0,0,0,0,v
2017-01-02 18:30,0.789,0.119,0,0,0,0,v
2017-01-02 18:36,0.744,0.129,0,0,0,0,v
2017-01-02 18:42,0.698,0.127,0,0,0,0,v
2017-01-02 18:48,0.751,0.144,0,0,0,0,v
2017-01-02 18:54,0.666,0.142,0,0,0,0,v
2017-01-02 19:00,0.642,0.148,0,0,0,0,v
2017-01-02 19:06,0.620,0.141,0,0,0,0,v
2017-01-02 19:12,0.560,0.129,0,0,0,0,v
2017-01-02 19:18,0.584,0.164,0,0,0,0,v
2017-01-02 19:24,0.551,0.159,0,0,0,0,v
2017-01-02 19:30,0.522,0.180,0,0,0,0,v
2017-01-02 19:36,0.514,0.162,0,0,0,0,v
2017-01-02 19:42,0.475,0.155,0,0,0,0,v
2017-01-02 19:48,0.426,0.195,0,0,0,0,v
2017-01-02 19:54,0.402,0.164,0,0,0,0,v
2017-01-02 20:00,0.427,0.177,0,0,0,0,v
2017-01-02 20:06,0.398,0.161,0,0,0,0,v
2017-01-02 20:12,0.370,0.177,0,0,0,0,v
2017-01-02 20:18,0.347,0.185,0,0,0,0,v
2017-01-02 20:24,0.333,0.191,0,0,0,0,v
2017-01-02 20:30,0.316,0.170,0,0,0,0,v
2017-01-02 20:36,0.297,0.148,0,0,0,0,v
2017-01-02 20:42,0.296,0.163,0,0,0,0,v
2017-01-02 20:48,0.287,0.215,0,0,0,0,v
2017-01-02 20:54,0.238,0.182,0,0,0,0,v
2017-01-02 21:00,0.272,0.172,0,0,0,0,v
2017-01-02 21:06,0.267,0.161,0,0,0,0,v
2017-01-02 21:12,0.245,0.174,0,0,0,0,v
2017-01-02 21:18,0.243,0.194,0,0,0,0,v
2017-01-02 21:24,0.234,0.157,0,0,0,0,v
2017-01-02 21:30,0.231,0.191,0,0,0,0,v
2017-01-02 21:36,0.240,0.156,0,0,0,0,v
2017-01-02 21:42,0.242,0.167,0,0,0,0,v
2017-01-02 21:48,0.231,0.180,0,0,0,0,v
2017-01-02 21:54,0.277,0.178,0,0,0,0,v
2017-01-02 22:00,0.272,0.176,0,0,0,0,v
2017-01-02 22:06,0.299,0.191,0,0,0,0,v
2017-01-02 22:12,0.307,0.191,0,0,0,0,v
2017-01-02 22:18,0.320,0.182,0,0,0,0,v
2017-01-02 22:24,0.321,0.171,0,0,0,0,v
2017-01-02 22:30,0.344,0.155,0,0,0,0,v
2017-01-02 22:36,0.338,0.191,0,0,0,0,v
2017-01-02 22:42,0.349,0.186,0,0,0,0,v
2017-01-02 22:48,0.397,0.179,0,0,0,0,v
2017-01-02 22:54,0.395,0.196,0,0,0,0,v
2017-01-02 23:00,0.414,0.188,0,0,0,0,v
2017-01-02 23:06,0.452,0.171,0,0,0,0,v
2017-01-02 23:12,0.457,0.170,0,0,0,0,v
2017-01-02 23:18,0.461,0.156,0,0,0,0,v
2017-01-02 23:24,0.484,0.185,0,0,0,0,v
2017-01-02 23:30,0.534,0.220,0,0,0,0,v
2017-01-02 23:36,0.548,0.209,0,0,0,0,v
